Language,Generated_ParticipantID,Duration (in seconds),Q1,Q1_Other,Q2,Q3,Q4,Q5,Q6,Q7,Q7_Other,Q8,Q9,Q10,Q10_Other,Q11,Q11_Other,Q12,Q13_Small,Q13_Mid,Q13_Large,Q14_Small,Q14_Mid,Q14_Large,Q15_Local,Q15_State,Q15_Federal,Q16,Q16_Other,Q17,Q18,Q18_Other,Q19,Q20,Q20_Other,Q21,Q21_Other,Q22,Q23,Q24,Q24_Other,Q25,Q25_Other,Q26,Q26_Other,Q27,Q27_Number,Q28,Q28_Other,Q29,Q30,Q31,Q32,Q33,Q34,Q35_City,Q35_Zip
English,21212442,1501,"Neighborhood beautification,Improved air quality,Stress reduction",,"Long-standing water bodies,Wildlife commonly found near water,Consistently-saturated soil",I am not sure which critical wetland is located upstream of me.,Yes,Often (At least once a month),Often (At least once a month),"Heavy rainfall or storms,Blocked or clogged drainage systems,Nearby waterways overflowing",,<$500,Less than or at ankle level,"Property damage,Loss of work or income,Mental health impact,Displacement from home,Prevented or delayed access to essential services,Interruption of utility services,Increased cost for repairs or flood proofing",,"Requested assistance from local government to improve drainage,Only my landlord can take action to address or reduce flooding at my residence",,"Nature-based detention pond,Large park,Pocket wetland,Rain garden,Wetland conservation,Wetland restoration (coastal or inland)",Permeable pavement,Pocket prairie,Large park,1,2,3,Yes,Yes,Yes,United States Environmental Protection Agency (US EPA),,Moderate trust,"Attracting unwanted pests,Equity in implementation,Displacement due to environmental projects,High installment costs,Increased taxes,Lack of educational resources for the community,Maintenance issues,Not fitting into community look/aesthetic,Space requirements",,Not at all satisfied,"More frequent updates on local flood risks,More detailed information about flood preparedness,Better access to emergency resources and assistance,Enhanced coordination with other local organizations/agencies,More targeted outreach to vulnerable populations,Improved use of technology for flood risk information",,"Better information sharing,Establishing community advisory boards,Involving local schools and community groups,Providing resources for community action,Compensation for time,Host more regular and diverse community meetings representative of the community,Providing multilingual interpretation services,Providing child care",,"I never attend meetings, although they are available",Not at all involved,I am not part of any organizations focused on drainage and flooding issues,,Facebook Posts,,From a family member,,Please type a number,28,White,,Yes,I have a disability,11-20 years,Some college,$35000-$49999,I do not rent or own my home.,Baytown,77520
Spanish,20847907,1052,"Neighborhood beautification,Improved air quality,Improved soil quality",,Wildlife commonly found near water,(1) Lake Houston Flatwood Wetlands,I do not know,Rarely (once a year or less),Often (At least once a month),Heavy rainfall or storms,,$0 ,Less than or at ankle level,I have not experienced any of these events,,Installed flood barriers or sandbags around my property,,I have not seen any of the GSI examples in my community,Rain garden,Pocket prairie,"Large park,Wetland conservation,Wetland restoration (inland or coastal)",1,2,3,Yes,Yes,Yes,I do not know,,Moderate trust,Attracting unwanted pests,,Moderately satisfied,"More frequent updates on local flood risks,More detailed information about flood preparedness",,"Better information sharing,Providing multilingual interpretation services,Providing child care",,There are no meetings available related to this topic,Not at all involved,I am not part of any organizations focused on drainage and flooding issues,,Facebook Posts,,From a family member,,Please type a number,21,Prefer not to answer,,Yes,None of the above,6-10 years,Some college,<$10000,I rent my home.,Houston,77022
Spanish,31793905,1920,"Neighborhood beautification,Improved stormwater quality,Improved soil quality",,"Aquatic (water) plants,A drainage ditch nearby,A creek nearby",(4) Trans-Brazos Region,Yes,Always (every time it rains),Always (every time it rains),"Heavy rainfall or storms,Aging infrastructure,Nearby waterways overflowing",,$10000-$20000,Between ankle and knee level,"Property damage,Mental health impact,Prevented or delayed access to essential services,Interruption of utility services,Increased cost for repairs or flood proofing",,Other:,I have become involved in community groups to fight,"Nature-based detention pond,Rain garden,Urban forestry","Permeable pavement,Rain garden","Pocket prairie,Pocket wetland","Large park,Wetland conservation",,,3,Yes,Yes,Yes,,,Slight trust,"Increased taxes,Not fitting into community look/aesthetic",,Slightly satisfied,"Better access to emergency resources and assistance,Enhanced coordination with other local organizations/agencies",,Compensation for time,,I occasionally attend meetings,Somewhat involved,"West Street Recovery (WSR),Northeast Action Collective (NAC)",,Phone Calls,,From a co-worker,,Please type a number,75,Other:,Hispanic/Latino,Yes,None of the above,Over 20 years,High school diploma or equivalent,$15000-$24999,I own my home.,Houston,77078
Spanish,37923351,1910,"Improved air quality,Improved stormwater quality,Improved soil quality",,"A drainage ditch nearby,A creek nearby,Consistently-saturated soil",I am not sure which critical wetland is located upstream of me.,Yes,Sometimes (once every 2-6 months),Rarely (once a year or less),"Blocked or clogged drainage systems,Inadequate stormwater infrastructure size,Aging infrastructure",,<$500,Between ankle and knee level,"Loss of work or income,Mental health impact,Interruption of utility services",,Installed flood barriers or sandbags around my property,,I have not seen any of the GSI examples in my community,I prefer not to implement small-scale GSI in my community,Nature-based detention pond,Large park,,,2,Yes,Yes,Yes,United States Environmental Protection Agency (US EPA),,Moderate trust,"High installment costs,Lack of educational resources for the community,Space requirements",,Moderately satisfied,Increased opportunities for community feedback,,"Involving local schools and community groups,Compensation for time",,I attend most meetings,Somewhat involved,Bayou City Waterkeeper (BCWK),,Facebook Posts,,From an advertisement,,Please type a number,50,White,,Yes,I live in a non-English proficient household,6-10 years,High school diploma or equivalent,$15000-$24999,I own my home.,Houston,77016
English,35211442,1646,"Neighborhood beautification,Improved air quality,Improved soil quality",,I do not know,,Yes,Always (every time it rains),Always (every time it rains),"Blocked or clogged drainage systems,Inadequate stormwater infrastructure size,Increased development or urbanization",,>$20000,Between ankle and knee level,"Property damage,Loss of work or income",,"Requested assistance from local government to improve drainage,Engaged with local authorities around flooding issues",,"Large park,Permeable pavement,Rain garden,Rainwater harvesting","Rain garden,Rainwater harvesting",,Large park,,3,,,Yes,Yes,,,,,,Moderately satisfied,"Better access to emergency resources and assistance,Enhanced coordination with other local organizations/agencies",,,,I attend all meetings,Extremely involved,Northeast Action Collective (NAC),,Word of mouth,,From a neighbor,,Prefer not to answer,,Black or African American,,No,Prefer not to answer,Over 20 years,,Prefer not to answer,I own my home.,Houston,77028
Spanish,4222842,3444,"Neighborhood beautification,Improved air quality,Improved soil quality",,"A drainage ditch nearby,A creek nearby,Consistently-saturated soil",(1) Lake Houston Flatwood Wetlands,No,Never,Never,Not applicable (neighborhood does not flood),,$0 ,Less than or at ankle level,I have not experienced any of these events,,Not applicable (flooding has not affected my residence) ,,I have not seen any of the GSI examples in my community,"Permeable pavement,Rain garden",Nature-based detention pond,"Large park,Wetland conservation",,,1,Yes,Yes,Yes,City of Houston and other Municipalities (Municipal Utility District MUDs),,No trust,"Increased taxes,Maintenance issues,Not fitting into community look/aesthetic",,There is no information available,"More frequent updates on local flood risks,Improved translation and accessibility information for non-English speakers",,"Establishing community advisory boards,Involving local schools and community groups,Providing resources for community action,Compensation for time,Host more regular and diverse community meetings representative of the community",,There are no meetings available related to this topic,Not at all involved,I am not part of any organizations focused on drainage and flooding issues,,Word of mouth,,Other:,,Please type a number,63,White,,Yes,None of the above,Over 20 years,High school diploma or equivalent,$25000-$34999,I own my home.,Houston,77022
Spanish,19065518,2965,"Improved air quality,Improved stormwater quality,Improved soil quality",,Wildlife commonly found near water,(1) Lake Houston Flatwood Wetlands,Yes,Always (every time it rains),Always (every time it rains),"Heavy rainfall or storms,Blocked or clogged drainage systems,Increased development or urbanization",,$500-$1000,Between ankle and knee level,Interruption of utility services,,I have not taken any measures to address or reduce flooding,,Rainwater harvesting,Permeable pavement,I prefer not to implement mid-scale GSI in my community,Wetland conservation,3,2,1,Yes,Yes,Yes,Harris County Flood Control District (HCFCD),,Moderate trust,Increased taxes,,Slightly satisfied,Improved translation and accessibility information for non-English speakers,,Involving local schools and community groups,,There are no meetings available related to this topic,Not at all involved,I am not part of any organizations focused on drainage and flooding issues,,Newspaper articles/Flyers,,From a neighbor,,Please type a number,64,White,,Yes,None of the above,Over 20 years,Less than a high school diploma or equivalent,$15000-$24999,I own my home.,Houston,77093
English,44298351,1842,"Improved air quality,Improved stormwater quality,Increased property value",,A drainage ditch nearby,(4) Trans-Brazos Region,Yes,Sometimes (once every 2-6 months),Sometimes (once every 2-6 months),Heavy rainfall or storms,,<$500,Less than or at ankle level,I have not experienced any of these events,,Not applicable (flooding has not affected my residence) ,,"Large park,Pocket wetland",Rainwater harvesting,Pocket prairie,Wetland conservation,3,2,1,Yes,Yes,Yes,City of Houston and other Municipalities (Municipal Utility District MUDs),,Moderate trust,Maintenance issues,,Very satisfied,More detailed information about flood preparedness,,"Better information sharing,Providing resources for community action,Providing multilingual interpretation services",,I occasionally attend meetings,Somewhat involved,I am not part of any organizations focused on drainage and flooding issues,,Newspaper articles/Flyers,,From a co-worker,,Please type a number,51,Other:,Hispanic/Latino,Yes,None of the above,11-20 years,Some college,$25000-$34999,I rent my home.,Baytown,77521
English,21833921,589,"Neighborhood beautification,Improved air quality,Improved soil quality",,A creek nearby,I am not sure which critical wetland is located upstream of me.,Yes,Sometimes (once every 2-6 months),Sometimes (once every 2-6 months),Blocked or clogged drainage systems,,<$500,Less than or at ankle level,Mental health impact,,I have not taken any measures to address or reduce flooding,,Wetland conservation,Rainwater harvesting,Pocket wetland,Wetland conservation,,,2,Yes,Yes,Yes,Local city planning departments,,Moderate trust,Increased taxes,,Moderately satisfied,Enhanced coordination with other local organizations/agencies,,Involving local schools and community groups,,I occasionally attend meetings,Moderately involved,My local neighborhood association or homeowners association (HOA),,Facebook Posts,,From a co-worker,,Please type a number,50,White,,Yes,None of the above,Over 20 years,High school diploma or equivalent,$25000-$34999,I own my home.,Baytown,77521
Spanish,25877039,1258,"Improved air quality,Improved stormwater quality,Improved soil quality",,"A drainage ditch nearby,A creek nearby",(1) Lake Houston Flatwood Wetlands,I do not know,Rarely (once a year or less),Rarely (once a year or less),"Heavy rainfall or storms,Blocked or clogged drainage systems,Nearby waterways overflowing",,$1000-$5000,Less than or at ankle level,Prefer not to answer,,Other:,I put cement so the water would run better.,Nature-based detention pond,Bioswale,Nature-based detention pond,Wetland restoration (inland or coastal),,,3,Yes,Yes,Yes,Local city planning departments,,No trust,"Attracting unwanted pests,Displacement due to environmental projects,Increased taxes,Lack of educational resources for the community,Maintenance issues",,There is no information available,"More frequent updates on local flood risks,More detailed information about flood preparedness,Better access to emergency resources and assistance,Increased opportunities for community feedback,Enhanced coordination with other local organizations/agencies,More targeted outreach to vulnerable populations,Improved use of technology for flood risk information,Improved translation and accessibility information for non-English speakers",,"Establishing community advisory boards,Involving local schools and community groups,Providing resources for community action,Compensation for time,Host more regular and diverse community meetings representative of the community,Providing multilingual interpretation services,Providing child care",,I occasionally attend meetings,Somewhat involved,I am not part of any organizations focused on drainage and flooding issues,,Community bulletin posts,,Other:,Volunteer at Sam Houston School,Please type a number,46,Other:,,Yes,Prefer not to answer,Over 20 years,Some college,Prefer not to answer,I do not rent or own my home.,Houston,77093
English,22890583,1293,"Improved air quality,Improved soil quality,Increased property value",,"Long-standing water bodies,A drainage ditch nearby,A creek nearby,Consistently-saturated soil",(1) Lake Houston Flatwood Wetlands,No,Never,Sometimes (once every 2-6 months),"Heavy rainfall or storms,Inadequate stormwater infrastructure size,Increased development or urbanization",,$0 ,Less than or at ankle level,"Loss of work or income,Interruption of utility services",,Not applicable (flooding has not affected my residence) ,,"Large park,Pocket wetland",Rain garden,Nature-based detention pond,"Wetland conservation,Wetland restoration (inland or coastal)",1,2,3,Yes,Yes,Yes,Houston Galveston Area Council (HGAC),,Slight trust,"High installment costs,Increased taxes,Lack of educational resources for the community,Space requirements",,Not at all satisfied,"More frequent updates on local flood risks,More targeted outreach to vulnerable populations",,"Better information sharing,Establishing community advisory boards,Involving local schools and community groups,Providing resources for community action",,I rarely attend meetings,Not at all involved,I am not part of any organizations focused on drainage and flooding issues,,Instagram Posts,,From a family member,,Please type a number,23,White,,Yes,None of the above,11-20 years,Some college,$25000-$34999,I do not rent or own my home.,Baytown,77521
English,18272005,1353,"Neighborhood beautification,Improved air quality,Stress reduction",,"Long-standing water bodies,A creek nearby,Wildlife commonly found near water",I am not sure which critical wetland is located upstream of me.,Yes,Sometimes (once every 2-6 months),Sometimes (once every 2-6 months),"Blocked or clogged drainage systems,Inadequate stormwater infrastructure size,Aging infrastructure",,$1000-$5000,Less than or at ankle level,"Property damage,Mental health impact,Displacement from home,Interruption of utility services,Increased cost for repairs or flood proofing",,"Requested assistance from local government to improve drainage,Engaged with local authorities around flooding issues",,I have not seen any of the GSI examples in my community,I prefer not to implement small-scale GSI in my community,I prefer not to implement mid-scale GSI in my community,I prefer not to implement large-scale GSI in my community,,,1,I don't know,I don't know,I don't know,I do not know,,Moderate trust,"Equity in implementation,Increased taxes,Lack of educational resources for the community,Maintenance issues",,Moderately satisfied,"Better access to emergency resources and assistance,Enhanced coordination with other local organizations/agencies,More targeted outreach to vulnerable populations,Improved translation and accessibility information for non-English speakers",,"Better information sharing,Establishing community advisory boards,Involving local schools and community groups,Providing resources for community action,Compensation for time,Host more regular and diverse community meetings representative of the community,Providing multilingual interpretation services,Providing child care",,I occasionally attend meetings,Somewhat involved,I am not part of any organizations focused on drainage and flooding issues,,Newspaper articles/Flyers,,From a neighbor,,Please type a number,39,White,,Yes,I live in a non-English proficient household,11-20 years,High school diploma or equivalent,$35000-$49999,I own my home.,Houston,77093
English,42351859,681,"Improved air quality,Improved stormwater quality,Improved soil quality",,A drainage ditch nearby,,Yes,Always (every time it rains),Always (every time it rains),"Heavy rainfall or storms,Blocked or clogged drainage systems,Inadequate stormwater infrastructure size",,$1000-$5000,Above the knee,"Property damage,Loss of work or income,Mental health impact,Displacement from home,Interruption of utility services,Increased cost for repairs or flood proofing",,Only my landlord can take action to address or reduce flooding at my residence,,Wetland conservation,I prefer not to implement small-scale GSI in my community,I prefer not to implement mid-scale GSI in my community,I prefer not to implement large-scale GSI in my community,3,1,2,Yes,Yes,Yes,State of Texas,,No trust,"Attracting unwanted pests,Displacement due to environmental projects,Increased taxes,Lack of educational resources for the community,Maintenance issues",,Not at all satisfied,"More frequent updates on local flood risks,More detailed information about flood preparedness,Better access to emergency resources and assistance,Increased opportunities for community feedback,Improved use of technology for flood risk information",,"Better information sharing,Involving local schools and community groups,Compensation for time,Host more regular and diverse community meetings representative of the community",,There are no meetings available related to this topic,Not at all involved,I am not part of any organizations focused on drainage and flooding issues,,Instagram Posts,,From Bayou City Waterkeeper,,Prefer not to answer,,Black or African American,,No,None of the above,1-5 years,Some college,$10000-$14999,I rent my home.,Houston,77026
English,13581072,736,Improved stormwater quality,,"A drainage ditch nearby,A creek nearby",,Yes,Always (every time it rains),Always (every time it rains),"Heavy rainfall or storms,Inadequate stormwater infrastructure size,Nearby waterways overflowing",,$1000-$5000,Between ankle and knee level,"Property damage,Loss of work or income,Displacement from home,Prevented or delayed access to essential services,Interruption of utility services,Increased cost for repairs or flood proofing",,Only my landlord can take action to address or reduce flooding at my residence,,I have not seen any of the GSI examples in my community,Rainwater harvesting,Pocket wetland,Wetland conservation,1,3,2,Yes,Yes,Yes,State of Texas,,Slight trust,"Equity in implementation,Displacement due to environmental projects,High installment costs,Increased taxes,Lack of educational resources for the community,Maintenance issues,Space requirements",,Not at all satisfied,"More frequent updates on local flood risks,More detailed information about flood preparedness,Better access to emergency resources and assistance,Increased opportunities for community feedback,Enhanced coordination with other local organizations/agencies,More targeted outreach to vulnerable populations,Improved use of technology for flood risk information",,"Better information sharing,Establishing community advisory boards,Involving local schools and community groups,Providing resources for community action,Compensation for time,Host more regular and diverse community meetings representative of the community",,There are no meetings available related to this topic,Moderately involved,"Bayou City Waterkeeper (BCWK),Northeast Action Collective (NAC),My local neighborhood association or homeowners association (HOA)",,Community bulletin posts,,From a family member,,Please type a number,42,Black or African American,,No,None of the above,1-5 years,High school diploma or equivalent,$15000-$24999,I rent my home.,Houston,77078
English,31149675,842,I do not know,,"Long-standing water bodies,Consistently-saturated soil",(1) Lake Houston Flatwood Wetlands,No,Rarely (once a year or less),Rarely (once a year or less),"Blocked or clogged drainage systems,Inadequate stormwater infrastructure size",,Prefer not to answer,Not applicable (no experiences with flooding),Prefer not to answer,,Prefer not to answer,,,Rain garden,Pocket wetland,Large park,1,2,3,Yes,Yes,Yes,I do not know,,Moderate trust,Other:,,Slightly satisfied,"More frequent updates on local flood risks,More detailed information about flood preparedness,Increased opportunities for community feedback,Improved translation and accessibility information for non-English speakers",,"Better information sharing,Establishing community advisory boards,Involving local schools and community groups,Providing resources for community action,Compensation for time,Host more regular and diverse community meetings representative of the community,Providing multilingual interpretation services,Providing child care",,I attend all meetings,Moderately involved,"West Street Recovery (WSR),Northeast Action Collective (NAC)",,Newspaper articles/Flyers,,From Bayou City Waterkeeper,,Please type a number,57,White,,Yes,I have a disability,6-10 years,Prefer not to answer,Prefer not to answer,I own my home.,Houston,77078
English,37156044,1696,"Improved air quality,Improved soil quality,Stress reduction",,"Long-standing water bodies,A drainage ditch nearby,Consistently-saturated soil",(1) Lake Houston Flatwood Wetlands,I do not know,Rarely (once a year or less),Rarely (once a year or less),"Heavy rainfall or storms,Blocked or clogged drainage systems,Inadequate stormwater infrastructure size",,<$500,Less than or at ankle level,Interruption of utility services,,Only my landlord can take action to address or reduce flooding at my residence,,I have not seen any of the GSI examples in my community,I prefer not to implement small-scale GSI in my community,I prefer not to implement mid-scale GSI in my community,I prefer not to implement large-scale GSI in my community,2,3,1,Yes,Yes,Yes,Other:,none no trust,No trust,"High installment costs,Increased taxes,Maintenance issues",,Not at all satisfied,"More frequent updates on local flood risks,More detailed information about flood preparedness,Better access to emergency resources and assistance,Increased opportunities for community feedback,More targeted outreach to vulnerable populations,Improved use of technology for flood risk information,Improved translation and accessibility information for non-English speakers",,"Better information sharing,Establishing community advisory boards,Involving local schools and community groups,Providing resources for community action,Compensation for time,Host more regular and diverse community meetings representative of the community,Providing multilingual interpretation services,Providing child care",,I rarely attend meetings,Not at all involved,I am not part of any organizations focused on drainage and flooding issues,,Newspaper articles/Flyers,,From a neighbor,,Please type a number,76,Black or African American,,No,None of the above,1-5 years,High school diploma or equivalent,$10000-$14999,I rent my home.,Houston,77020
English,20978186,1098,"Improved air quality,Improved soil quality,Recreation",,"Long-standing water bodies,Aquatic (water) plants,A drainage ditch nearby,A creek nearby,Wildlife commonly found near water,Consistently-saturated soil",I am not sure which critical wetland is located upstream of me.,Yes,Sometimes (once every 2-6 months),Often (At least once a month),"Blocked or clogged drainage systems,Inadequate stormwater infrastructure size",,$0 ,Less than or at ankle level,Interruption of utility services,,,,I have not seen any of the GSI examples in my community,I prefer not to implement small-scale GSI in my community,I prefer not to implement mid-scale GSI in my community,I prefer not to implement large-scale GSI in my community,1,,,Yes,Yes,Yes,United States Environmental Protection Agency (US EPA),,Slight trust,"Attracting unwanted pests,High installment costs,Increased taxes,Lack of educational resources for the community,Maintenance issues",,Slightly satisfied,"More frequent updates on local flood risks,More detailed information about flood preparedness,Better access to emergency resources and assistance,Increased opportunities for community feedback,Enhanced coordination with other local organizations/agencies,More targeted outreach to vulnerable populations,Improved use of technology for flood risk information",,"Better information sharing,Establishing community advisory boards,Involving local schools and community groups,Providing resources for community action,Compensation for time,Host more regular and diverse community meetings representative of the community",,I occasionally attend meetings,Moderately involved,I am not part of any organizations focused on drainage and flooding issues,,Newspaper articles/Flyers,,Other:,,Please type a number,70,Black or African American,,No,None of the above,6-10 years,Prefer not to answer,Prefer not to answer,I own my home.,Baytown,77520
English,6834775,7585,"Neighborhood beautification,Increased property value,Recreation",,"Long-standing water bodies,Wildlife commonly found near water,Consistently-saturated soil",(1) Lake Houston Flatwood Wetlands,Yes,Rarely (once a year or less),Sometimes (once every 2-6 months),"Heavy rainfall or storms,Blocked or clogged drainage systems,Aging infrastructure",,$0 ,Less than or at ankle level,I have not experienced any of these events,,I have not taken any measures to address or reduce flooding,,"Nature-based detention pond,Large park,Permeable pavement,Wetland conservation","Permeable pavement,Rain garden","Nature-based detention pond,Urban forestry","Large park,Wetland conservation",,,3,Yes,Yes,Yes,Local city planning departments,,Moderate trust,Maintenance issues,,Slightly satisfied,"More frequent updates on local flood risks,More detailed information about flood preparedness,Improved use of technology for flood risk information",,Better information sharing,,I rarely attend meetings,Somewhat involved,I am not part of any organizations focused on drainage and flooding issues,,Word of mouth,,From an advertisement,,,,American Indian or Alaska Native,,Yes,None of the above,6-10 years,Associate's Degree or Technical Degree/Certification,$100000-$149999,I own my home.,Baytown,77520
English,4849542,3660,"Improved air quality,Improved stormwater quality,Stress reduction",,"A drainage ditch nearby,Consistently-saturated soil",,Yes,Always (every time it rains),Sometimes (once every 2-6 months),"Inadequate stormwater infrastructure size,Aging infrastructure,Increased development or urbanization",,$5000-$10000,Less than or at ankle level,"Loss of work or income,Displacement from home,Prevented or delayed access to essential services,Interruption of utility services",,Other:,,I have not seen any of the GSI examples in my community,I prefer not to implement small-scale GSI in my community,Nature-based detention pond,I prefer not to implement large-scale GSI in my community,,,3,Yes,Yes,Yes,I do not know,,Slight trust,"Attracting unwanted pests,Maintenance issues,Space requirements",,Not at all satisfied,"Enhanced coordination with other local organizations/agencies,More targeted outreach to vulnerable populations,Improved use of technology for flood risk information,Improved translation and accessibility information for non-English speakers",,"Better information sharing,Host more regular and diverse community meetings representative of the community,Providing child care",,"I never attend meetings, although they are available",Somewhat involved,Other:,,Newspaper articles/Flyers,,From a family member,,Please type a number,44,Black or African American,,No,None of the above,Over 20 years,Some college,$25000-$34999,I rent my home.,Baytown,77520
Spanish,43195578,1484,"Neighborhood beautification,Improved air quality",,Long-standing water bodies,,,,Always (every time it rains),"Heavy rainfall or storms,Inadequate stormwater infrastructure size",,<$500,Less than or at ankle level,"Property damage,Mental health impact",,"Installed flood barriers or sandbags around my property,Requested assistance from local government to improve drainage",,"Large park,Pocket wetland",,Pocket wetland,,2,,,Yes,,,Texas Water Development Board (TWDB),,Slight trust,High installment costs,,Slightly satisfied,"More frequent updates on local flood risks,More detailed information about flood preparedness",,Involving local schools and community groups,,I attend most meetings,Somewhat involved,"West Street Recovery (WSR),Coalition for Environment, Equity and Resilience (CEER)",,Phone Calls,,From a neighbor,,Please type a number,73,Other:,Hispanic/Latino,Yes,I live in a non-English proficient household,6-10 years,Bachelor's Degree,<$10000,I rent my home.,Houston,77020
English,49748668,1921,"Neighborhood beautification,Improved stormwater quality,Increased property value",,A creek nearby,I am not sure which critical wetland is located upstream of me.,No,Rarely (once a year or less),Always (every time it rains),"Heavy rainfall or storms,Blocked or clogged drainage systems,Nearby waterways overflowing",,$0 ,Less than or at ankle level,Property damage,,Prefer not to answer,,Rainwater harvesting,,,Large park,2,,,Yes,Yes,Yes,City of Houston and other Municipalities (Municipal Utility District MUDs),,Slight trust,,,Moderately satisfied,More detailed information about flood preparedness,,Establishing community advisory boards,,I attend all meetings,Moderately involved,Northeast Action Collective (NAC),,Newspaper articles/Flyers,,From a family member,,Please type a number,46,Black or African American,,No,None of the above,1-5 years,High school diploma or equivalent,<$10000,I rent my home.,Houston,77020
English,47356776,2843,"Neighborhood beautification,Improved air quality,Improved stormwater quality",,"Long-standing water bodies,A drainage ditch nearby",,Yes,Sometimes (once every 2-6 months),Sometimes (once every 2-6 months),"Blocked or clogged drainage systems,Aging infrastructure",,I do not know,Less than or at ankle level,Prevented or delayed access to essential services,,Raised the foundation of my house,,I have not seen any of the GSI examples in my community,I prefer not to implement small-scale GSI in my community,Pocket prairie,Large park,3,2,,Yes,Yes,Yes,Harris County Flood Control District (HCFCD),,No trust,Equity in implementation,,Moderately satisfied,"Better access to emergency resources and assistance,Enhanced coordination with other local organizations/agencies",,Establishing community advisory boards,,There are no meetings available related to this topic,Somewhat involved,"Coalition for Environment, Equity and Resilience (CEER)",,Facebook Posts,,From a family member,,Please type a number,64,Black or African American,,No,I have a disability,1-5 years,Less than a high school diploma or equivalent,$15000-$24999,I rent my home.,Houston,77028
English,45647575,1796,"Improved air quality,Improved stormwater quality,Improved soil quality",,"Long-standing water bodies,A drainage ditch nearby,A creek nearby",,Yes,Sometimes (once every 2-6 months),Sometimes (once every 2-6 months),"Heavy rainfall or storms,Blocked or clogged drainage systems,Nearby waterways overflowing",,$1000-$5000,Between ankle and knee level,Loss of work or income,,I have not taken any measures to address or reduce flooding,,Large park,Rainwater harvesting,Nature-based detention pond,Wetland conservation,3,,,Yes,Yes,Yes,Harris County Flood Control District (HCFCD),,Moderate trust,Increased taxes,,Extremely satisfied,More frequent updates on local flood risks,,Better information sharing,,I occasionally attend meetings,Extremely involved,"Coalition for Environment, Equity and Resilience (CEER)",,Phone Calls,,From a family member,,Please type a number,52,Prefer not to answer,,No,None of the above,Over 20 years,Prefer not to answer,Prefer not to answer,I rent my home.,Baytown,77520
English,13126046,985,"Neighborhood beautification,Improved stormwater quality,Increased property value",,"Long-standing water bodies,A drainage ditch nearby,A creek nearby,Consistently-saturated soil",I am not sure which critical wetland is located upstream of me.,No,Rarely (once a year or less),Sometimes (once every 2-6 months),"Heavy rainfall or storms,Aging infrastructure,Nearby waterways overflowing",,I do not know,Between ankle and knee level,Increased cost for repairs or flood proofing,,Installed flood barriers or sandbags around my property,,I have not seen any of the GSI examples in my community,I prefer not to implement small-scale GSI in my community,I prefer not to implement mid-scale GSI in my community,I prefer not to implement large-scale GSI in my community,,3,,Yes,Yes,No,Harris County Flood Control District (HCFCD),,No trust,Increased taxes,,Very satisfied,Increased opportunities for community feedback,,Better information sharing,,I attend all meetings,Somewhat involved,I am not part of any organizations focused on drainage and flooding issues,,Facebook Posts,,From a family member,,Please type a number,59,Black or African American,,No,None of the above,Over 20 years,Some college,$15000-$24999,I own my home.,Baytown,77521
Spanish,14056242,2379,"Neighborhood beautification,Improved air quality,Improved stormwater quality",,I do not know,(1) Lake Houston Flatwood Wetlands,Yes,Sometimes (once every 2-6 months),Sometimes (once every 2-6 months),Blocked or clogged drainage systems,,$0 ,Less than or at ankle level,Property damage,,Raised the foundation of my house,,I have not seen any of the GSI examples in my community,Rain garden,Urban forestry,Large park,,,3,Yes,Yes,Yes,City of Houston and other Municipalities (Municipal Utility District MUDs),,Moderate trust,Displacement due to environmental projects,,Slightly satisfied,More detailed information about flood preparedness,,"Better information sharing,Involving local schools and community groups,Providing resources for community action",,I occasionally attend meetings,Somewhat involved,I am not part of any organizations focused on drainage and flooding issues,,Community bulletin posts,,From a co-worker,,Please type a number,44,Other:,,Yes,None of the above,Over 20 years,Less than a high school diploma or equivalent,$10000-$14999,I own my home.,Houston,77022
Spanish,4692659,3393,I do not know,,,,,Never,,Not applicable (neighborhood does not flood),,$0 ,Not applicable (no experiences with flooding),Loss of work or income,,Not applicable (flooding has not affected my residence) ,,I have not seen any of the GSI examples in my community,,I prefer not to implement mid-scale GSI in my community,I prefer not to implement large-scale GSI in my community,1,,,Yes,Yes,Yes,City of Houston and other Municipalities (Municipal Utility District MUDs),,Slight trust,"Equity in implementation,High installment costs,Increased taxes,Lack of educational resources for the community,Maintenance issues",,Slightly satisfied,"More frequent updates on local flood risks,More detailed information about flood preparedness,Better access to emergency resources and assistance,Increased opportunities for community feedback,Enhanced coordination with other local organizations/agencies,Improved use of technology for flood risk information",,"Better information sharing,Involving local schools and community groups,Providing resources for community action,Compensation for time,Providing multilingual interpretation services",,I attend all meetings,Not at all involved,Bayou City Waterkeeper (BCWK),,Community bulletin posts,,From a co-worker,,Please type a number,45,White,,Yes,I live in a non-English proficient household,1-5 years,High school diploma or equivalent,$10000-$14999,I rent my home.,Houston,77076
